condition,Autos & Vehicles,Comedy,Education,Entertainment,Film & Animation,Gaming,Howto & Style,Music,News & Politics,Nonprofits & Activism,People & Blogs,Pets & Animals,Science & Technology,Sports,Travel & Events,Unknown
gaming_history_1,0.6987577639751553,3.1350724637681155,3.994714699792961,0.18485121713537647,0.25130434782608696,241.0298964803313,4.425465838509317,0.9123875776397516,1.8633540372670807,0.2329192546583851,17.24354469691013,1.6304347826086958,0.8000414078674948,10.18229648348015,0.6211180124223602,0.3105590062111801
gaming_history_3,0.6987577639751553,0.941739130434783,1.3685813664596276,0.737117461192429,0.0024154589371980693,34.77465838509317,1.3293254876321239,0.2003875776397516,1.8633540372670807,0.2329192546583851,1.5009497602012722,0.08376811594202903,3.7267080745341614,6.386098764848972,0.6211180124223602,0.3105590062111801
gaming_history_8,0.6987577639751553,0.041739130434782556,0.005381366459627319,3.4545818035062172,0.16241545893719805,63.84132505175985,0.0409044350005449,1.1555875776397513,1.8633540372670807,0.2329192546583851,9.25462064627722,1.6304347826086958,0.14170807453416145,11.64358925914555,0.6211180124223602,0.3105590062111801
neutral,0.18550724637681157,2.744099378881988,1.210782608695652,0.16235558924182933,6.469979296066253,1.3206743566992016,0.30938215102974814,1.5591884057971013,1.7391304347826086,0.21739130434782608,4.546101632727942,0.17888198757763982,3.4782608695652173,8.946944398523172,0.30471014492753623,1.7398550724637682
news_history_1,2.4232022084196,0.03507246376811599,4.60271469979296,2.0374027226821267,0.0024154589371980693,17.220372670807453,1.4977465402637022,0.32198757763975144,157.60002070393375,0.2329192546583851,2.564240899441782,0.24376811594202893,0.020041407867494834,7.55355123633186,0.6211180124223602,0.3105590062111801
news_history_3,0.12986887508626635,0.941739130434783,0.5707146997929607,4.587006526168655,0.7313043478260869,9.629896480331261,2.8872202244742287,6.747587577639751,2.4500207039337476,2.526252587991718,9.08753203868229,17.683768115942033,1.995041407867495,7.55355123633186,0.6211180124223602,0.3105590062111801
news_history_8,0.12986887508626635,6.435072463768116,4.60271469979296,14.870112706834265,4.891304347826087,19.001325051759835,0.5602026806145797,16.976387577639752,0.4000207039337474,13.406252587991718,15.390380139948116,6.96376811594203,1.3867080745341618,10.18229648348015,0.23111801242236032,0.3105590062111801
science_history_1,0.6987577639751553,0.041739130434782556,0.1163146997929607,4.5984169857566135,0.16241545893719805,9.629896480331261,41.63809741745668,3.8819875776397517,1.8633540372670807,0.2329192546583851,0.6300636842519075,1.1504347826086958,0.8000414078674948,14.860015114658857,9.111118012422363,23.290559006211183
science_history_3,7.578757763975155,0.3550724637681158,0.5707146997929607,5.23157071000384,5.335748792270532,8.374658385093166,2.651430750790019,0.9123875776397516,1.8633540372670807,0.2329192546583851,0.6300636842519075,1.6304347826086958,10.560041407867494,6.386098764848972,0.23111801242236032,0.3105590062111801
science_history_8,0.6987577639751553,0.3350724637681161,1.7333813664596271,5.23157071000384,1.7090821256038646,4.229896480331263,0.07458864552686055,0.9123875776397516,1.8633540372670807,0.2329192546583851,0.00019026653038759314,1.6304347826086958,40.42004140786749,10.18229648348015,0.23111801242236032,0.3105590062111801
sport_history_1,0.12986887508626635,1.9017391304347822,2.5099146997929607,1.6499542282288777,0.9090821256038648,7.20703933747412,2.651430750790019,0.9123875776397516,1.8633540372670807,0.2329192546583851,1.5009497602012722,1.6304347826086958,3.7267080745341614,130.29727747207332,0.23111801242236032,0.3105590062111801
sport_history_3,0.6987577639751553,0.03507246376811599,1.3685813664596276,0.32507308718291933,0.7313043478260869,8.374658385093166,4.425465838509317,2.1395875776397517,1.8633540372670807,0.2329192546583851,10.523734570327854,0.24376811594202893,1.995041407867495,230.33742956332813,0.6211180124223602,0.3105590062111801
sport_history_8,0.6614906832298136,0.11053276178812006,1.1225632053188699,0.04093466839300333,0.08583384364155942,9.87630128597673,1.1442223132847427,3.6749482401656315,1.763975155279503,0.2204968944099379,0.5421994450651815,0.19136558481322719,0.07900664858717522,14.375480246886061,0.587991718426501,0.2939958592132505
