condition,shannon_entropy,normalized_entropy
news_history_1,2.45768494201397,0.6144212355034925
gaming_history_8,2.374774635528475,0.5936936588821188
science_history_8,2.322892616116065,0.5807231540290162
news_history_3,2.309608930839082,0.5774022327097705
gaming_history_3,2.2933131419125554,0.5733282854781389
science_history_3,2.2383357870798917,0.5595839467699729
sport_history_8,2.2150187057882746,0.5537546764470687
news_history_8,2.2055328773835767,0.5513832193458942
neutral,2.1822545666151756,0.5455636416537939
science_history_1,2.1745857033099485,0.5436464258274871
sport_history_1,2.1631316547318735,0.5407829136829684
sport_history_3,2.1244733643716427,0.5311183410929107
gaming_history_1,2.008853671876893,0.5022134179692233
