condition,Autos & Vehicles,Comedy,Education,Entertainment,Film & Animation,Gaming,Howto & Style,Music,News & Politics,Nonprofits & Activism,People & Blogs,Pets & Animals,Science & Technology,Sports,Travel & Events,Unknown
gaming_history_1,0.6987577639751553,6.521739130434782,5.8229813664596275,48.99068322981366,4.891304347826087,22.82608695652174,4.425465838509317,3.8819875776397517,1.8633540372670807,0.2329192546583851,98.13664596273291,1.6304347826086956,3.7267080745341614,20.419254658385093,0.6211180124223602,0.3105590062111801
gaming_history_3,0.6987577639751553,6.521739130434782,5.8229813664596275,48.99068322981366,4.891304347826087,22.82608695652174,4.425465838509317,3.8819875776397517,1.8633540372670807,0.2329192546583851,98.13664596273291,1.6304347826086956,3.7267080745341614,20.419254658385093,0.6211180124223602,0.3105590062111801
gaming_history_8,0.6987577639751553,6.521739130434782,5.8229813664596275,48.99068322981366,4.891304347826087,22.82608695652174,4.425465838509317,3.8819875776397517,1.8633540372670807,0.2329192546583851,98.13664596273291,1.6304347826086956,3.7267080745341614,20.419254658385093,0.6211180124223602,0.3105590062111801
neutral,0.6521739130434783,6.086956521739131,5.434782608695652,45.72463768115942,4.565217391304348,21.304347826086957,4.130434782608695,3.6231884057971016,1.7391304347826086,0.21739130434782608,91.59420289855072,1.5217391304347827,3.4782608695652173,19.057971014492754,0.5797101449275363,0.2898550724637681
news_history_1,0.6987577639751553,6.521739130434782,5.8229813664596275,48.99068322981366,4.891304347826087,22.82608695652174,4.425465838509317,3.8819875776397517,1.8633540372670807,0.2329192546583851,98.13664596273291,1.6304347826086956,3.7267080745341614,20.419254658385093,0.6211180124223602,0.3105590062111801
news_history_3,0.6987577639751553,6.521739130434782,5.8229813664596275,48.99068322981366,4.891304347826087,22.82608695652174,4.425465838509317,3.8819875776397517,1.8633540372670807,0.2329192546583851,98.13664596273291,1.6304347826086956,3.7267080745341614,20.419254658385093,0.6211180124223602,0.3105590062111801
news_history_8,0.6987577639751553,6.521739130434782,5.8229813664596275,48.99068322981366,4.891304347826087,22.82608695652174,4.425465838509317,3.8819875776397517,1.8633540372670807,0.2329192546583851,98.13664596273291,1.6304347826086956,3.7267080745341614,20.419254658385093,0.6211180124223602,0.3105590062111801
science_history_1,0.6987577639751553,6.521739130434782,5.8229813664596275,48.99068322981366,4.891304347826087,22.82608695652174,4.425465838509317,3.8819875776397517,1.8633540372670807,0.2329192546583851,98.13664596273291,1.6304347826086956,3.7267080745341614,20.419254658385093,0.6211180124223602,0.3105590062111801
science_history_3,0.6987577639751553,6.521739130434782,5.8229813664596275,48.99068322981366,4.891304347826087,22.82608695652174,4.425465838509317,3.8819875776397517,1.8633540372670807,0.2329192546583851,98.13664596273291,1.6304347826086956,3.7267080745341614,20.419254658385093,0.6211180124223602,0.3105590062111801
science_history_8,0.6987577639751553,6.521739130434782,5.8229813664596275,48.99068322981366,4.891304347826087,22.82608695652174,4.425465838509317,3.8819875776397517,1.8633540372670807,0.2329192546583851,98.13664596273291,1.6304347826086956,3.7267080745341614,20.419254658385093,0.6211180124223602,0.3105590062111801
sport_history_1,0.6987577639751553,6.521739130434782,5.8229813664596275,48.99068322981366,4.891304347826087,22.82608695652174,4.425465838509317,3.8819875776397517,1.8633540372670807,0.2329192546583851,98.13664596273291,1.6304347826086956,3.7267080745341614,20.419254658385093,0.6211180124223602,0.3105590062111801
sport_history_3,0.6987577639751553,6.521739130434782,5.8229813664596275,48.99068322981366,4.891304347826087,22.82608695652174,4.425465838509317,3.8819875776397517,1.8633540372670807,0.2329192546583851,98.13664596273291,1.6304347826086956,3.7267080745341614,20.419254658385093,0.6211180124223602,0.3105590062111801
sport_history_8,0.6614906832298136,6.173913043478261,5.512422360248447,46.37784679089027,4.630434782608695,21.608695652173914,4.1894409937888195,3.6749482401656315,1.763975155279503,0.2204968944099379,92.90269151138716,1.5434782608695652,3.527950310559006,19.330227743271223,0.587991718426501,0.2939958592132505
